飞周兄弟 | 不认亲、袭击 | non-hate | non-hate [END]
NULL | 就是种族内个歧视了 | Racism | hate [END]
模糊指代群体 | 黑蛆 | Racism | hate [END]
一门心思娶外国女人的男性朋友 | 存在这样的人 | non-hate | non-hate [END]
喷神 | 可能大概也许貌似真的有点种族歧视 | Racism | hate [END]
上海 | 名声一直不好 | Region | hate [END]
你 | 至少比你强多了 | non-hate | non-hate [END]
奥巴马 | 不是真正的黑人，被评价为美国历史最差总统 | Racism | hate [END]
同性恋 | 同性恋不是西方传来的，他本身是先天得来的东西。自然界各类动物都有同性恋 | non-hate | non-hate [END]
您 | 高傲的挑衅全体人民 | others | hate [END]
被认为会使自己后代基因‘染黑’的群体 | 反对自己后代的基因被染黑 | Racism | hate [END]
非洲源头奥密克戎变异株Ba.5、西安市 | 被陈述相关传播信息 | non-hate | non-hate [END]
女生 | 谈恋爱朋友圈公开会介意 | non-hate | non-hate [END]
上海 | 是唯一一个本地人在本地说本地话，要被说排外的城市 | non-hate | non-hate [END]
卫辉官媒 | 黑山东，不是让山东来救援的赶紧滚 | Region | hate [END]
浙江人 | 在全世界被歧视，集体驱逐，只是国内不报道 | Region | hate [END]
生黑孩的女人 | 存在负面态度 | Racism | hate [END]
NULL | 太小看美颜了，男的也一样看不出 | non-hate | non-hate [END]
这个酒厂 | 估计没几年了，请代言人直接逆着群体选 | others | hate [END]
黑人 | 大量贩卖到法国葡萄牙 | Racism | hate [END]
黑人 | 黑人不是中国的一部分 | non-hate | non-hate [END]
河南官方 | 提及认证 | non-hate | non-hate [END]
黑人（除特别优秀的如奥巴马之流） | 除了特别优秀的，其余的都不行 | Racism | hate [END]
异性恋 | 现在艾滋病的传播异性恋可是占主流呢 | non-hate | non-hate [END]
上海 | 笑而不语 | non-hate | non-hate [END]
NULL | 作为男性无法接受这个 | non-hate | non-hate [END]
田园女拳 | 有滥交的自由 | Sexism | hate [END]
大部分女性 | 要求不婚检，认为检检就是对自己的不信任 | Sexism | hate [END]
部分在网络上制造对立和戾气的人 | 很讨厌、引起对立、导致很重的戾气 | others | hate [END]
老美 | 可被黑、被骂 | Racism | hate [END]
杭州人 | 跳，说别人说自己所在地区是美食荒漠是因为吃不起 | Region | hate [END]
老一辈 | 排外明显 | others | hate [SEP] 年轻一辈 | 打心里瞧不起 | others | hate [END]
第一次的男人 | 得到最大的好处拍拍屁股走了 | Sexism | hate [SEP] 女方 | 不但让老实人给大量钱，很可能面临离婚分财产扶贫的任务，而且女方 lkd，艾疣梅事都可能上门，婚后一地鸡毛还有个泼皮祖宗站在老实人头大拉屎撒尿 | Sexism | hate [END]
黑龙江人 | 唱衰东北的急先锋，转手就把公安局设海南了 | Region | hate [SEP] 辽宁人 | 在跟南大人据理力争 | Region | hate [END]
黑人 | 要灭绝 | Racism | hate [END]
对方 | 面对来对线争论的人要把握议题设置，主导叙事更重要 | non-hate | non-hate [END]
每个男人 | 在高龄光棍前绝不会以为内卷的会是自己，年轻时都不会找这种女人，直到四十岁还打光棍时没办法才病急乱投医 | Sexism | hate [SEP] 这些女人 | 不会找年龄一大把的老男人 | Sexism | hate [END]
阿娜 | 给阿娜上坟捏 | others | hate [END]
黑人 | 暗示可能携带艾滋病会害人 | Racism | hate [END]
NULL | 用“姆蛆”进行侮辱性贬低 | others | hate [END]
男同 | 骗婚、伴郎是炮友、婚前一晚酒店有不当行为等 | LGBTQ | hate [END]
广西人 | 飘过…… | non-hate | non-hate [END]
留学生 | 不会跪着安排豪华宿舍、美女学伴、高额奖金 | others | hate [END]
女司机 | 会被群嘲，给人带来恐惧 | Sexism | hate [END]
男男 | 哪怕结婚了你还会被甩 | non-hate | non-hate [END]
搞地域歧视的人 | 非蠢即坏，当然也有可能是又蠢又坏 | others | hate [END]
NULL | 我是河北滴 | non-hate | non-hate [END]
东北人 | 有不好的行为 | Region | hate [END]
男人 | 应该加强对男人的生命安全保护 | non-hate | non-hate [END]
美国 | 存在内战的阴云 | non-hate | non-hate [END]
这个基佬 | 人面兽心还叫帅天理何在 | LGBTQ | hate [END]
哪个哪个省的人 | 应该被黑 | Region | hate [END]
女权吧的帖子 | 活了不到五分钟就被删帖 | non-hate | non-hate [END]
你 | 没有你国民素质上升两个档且让你快去自** | non-hate | hate [END]
炼铜txl | 能不能④ | LGBTQ | hate [END]
幕刃 | 应该远离 | non-hate | non-hate [END]
你们 | 地域黑输出主力军 | Region | hate [END]
女权主义者 | 永远不会忏悔，他们往往会在一段时间后把自己伪装成正常人的样子，用被蛊惑来为自己开脱，然后觉得心安理得，但他们连道歉都没有过 | Sexism | hate [END]
四元组：同性恋群体 | 文本中通过对比和这种表述暗示相关内容 | LGBTQ | hate [END] 
男拳 | 其语录是黑大人发明的 | Sexism | hate [END]
你 | 喃蛮 | Region | hate [END]
普通大学 | 这样搞 | non-hate | non-hate [END]
我 | 去读书 | non-hate | non-hate [END]
上海 | 被地域黑最严重 | Region | hate [END]
上海市区以外的人（包括上海郊区） | 被上海市区人歧视 | Region | hate [END]
NULL | 真的恶心 | others | hate [END]
男人 | sb；留下种子还不用负责 | Sexism | hate [END]
跟黑人女性结婚的中国男性 | 带有嘲讽的不认可态度 | Racism | hate [END]
黑人 | 现实中女生都多多少少有点歧视黑人 | Racism | hate [SEP] 挑搞男女对立的 | 渲染得太严重，很容易让人跌进愤怒的漩涡 | others | hate [END]
南桐 | 令人厌恶 | LGBTQ | hate [END]
做出反客为主行为的人 | 反客为主 | non-hate | non-hate [END]
NULL | 之前的默老哥都转抖音了，吧不成气候 | non-hate | non-hate [END]
你爸 | 询问是否得罪 | non-hate | non-hate [END]
你 | 死肥猪，去死啊 | non-hate | hate [END]
诈骗犯 | 给彩礼也不嫁 | others | hate [END]
它（指代某群体） | 只有大量繁殖才能保证种族延续；世界乞丐 | Racism/Region | hate [END]
对同性恋和异性恋有双标评判的群体 | 存在不平等和双标，无论怎样结果都是同性恋的错，给同性恋扣主观的屎盆子 | LGBTQ | non-hate [END]
NULL | 啥省份的都有 | non-hate | non-hate [END]
黑人 | 不老实，脸皮厚 | Racism | hate [END]
安徽池州 | 才从五线变四线 | non-hate | non-hate [END]
网上的拳师 | 说话者对其感到厌恶 | Sexism | hate [END]
男同 | 男生对男同首先是有生理反感，其次才是歧视 | LGBTQ | hate [SEP] 女同 | 男生对女同没有生理反感，所以才会更喜欢女同 | LGBTQ | hate [END]
NULL | 人家是生意，要收钱的，这个是免费 | non-hate | non-hate [END]
极端女权 | 被提及可能带有负面倾向（结合语境推测） | Sexism | hate [SEP] 极端男拳 | 被提及可能带有负面倾向（结合语境推测） | Sexism | hate [END]
你 | 卖力气且值得赞同 | non-hate | non-hate [END]
男性 | 尽男男之物力，结女友只欢心 | Sexism | hate [END]
我们 | 都是家暴男 | others | hate [END]
中国 | 有地域歧视很正常 | Region | hate [END]
昭和时期的日本人 | 可能会一刀刺过去 | Region | hate [END]
被骗去非洲的国女 | 爱炫耀爱攀比、会回来装逼 | Sexism | hate [END]
外地人 | 被骂要饭的 | Region | hate [END]
黑人 | 赶走 | Racism | hate [END]
黑人 | 反对 | Racism | hate [END]
外国媳妇（除日韩越外） | 不能接受，不是同人种 | Racism | hate [END]
新疆切糕 | 把新疆人名声败坏了 | Region | hate [END]
我们同性恋 | 太正确了 | non-hate | non-hate [END]
沪黑 | 如此渺小 | Region | hate [END]
LGBTQ群体 | 垃圾，颠覆国人的三观，棒垃圾当宝贝 | LGBTQ | hate [END]
吴施蒙 | 在手机上搜出来一堆色情网站 | others | hate [END]
中国人 | 存在片面、歧视性和不恰当的相关描述 | Racism | hate [END]
被称为“黑”的人 | 黑性旺盛，完全不讲道义，坏人一个 | Racism | hate [END]
南满 | 黑河南、黑北方 | Region | hate [END]
这司机 | 还行还行 | non-hate | non-hate [END]
chinese women | pussy smells like dead fish；dead fish girl | Sexism | hate [END]
普信女 | 教课书一样的 | Sexism | hate [END]
匿名的人 | 这么自信别匿名 | non-hate | non-hate [END]
综合以上分析，仇恨言论四元组为：黑人 | 没有良心、都是一路货色 | Racism | hate [END]
Gay | 还会挑？ | LGBTQ | hate [END]
黑人 | 看不惯 | Racism | hate [END]
现在的娘炮 | 被作者不认可（从称呼“娘炮”推断） | Sexism | hate [SEP] 女拳 | 拿这些娘炮当例子还说人家嫉妒，真是笑大牙了 | Sexism | hate [END]
四元组：NULL | 被黑并不完全是经济原因，各地都会因不同的原因被黑 | non-hate | non-hate [END]
炫耀找黑媳妇的人 | 基本上没见过什么世面 | Racism | hate [END]
基佬 | 只是不搞女人的渣男，除非他不渣；但基佬不渣还能是基佬吗 | LGBTQ | hate [END]
学长 | 打拳 | Sexism | hate [END]
女教师群体 | 导致艾资也不少（结合整体负面表述） | Sexism | hate [SEP] 泥鸽所指对象 | 导致艾资也不少（结合整体负面表述） | others | hate [END] 
小仙女 | 垃圾，不配活着 | Sexism | hate [END]
女拳 | 没有逻辑的动物 | Sexism | hate [END]
