飞周兄弟 | 还不认亲？ | Region | hate [END]
黑人 | 不要跟外国人上床、恋爱甚至结婚 | Racism | hate [END]
父母 | 极力劝阻女儿不要嫁 | non-hate | non-hate [END]
吴越（包括上海本地） | 占大概70-80% | non-hate | non-hate [SEP] 江淮 | 15%左右 | non-hate | non-hate [END]
日本女性 | 媚白 | Sexism, Racism | hate [END]
黑人 | 事太多了 | Racism | hate [END]
我们同性恋 | 太正确了 | LGBTQ | hate [END]
黑家伙 | 找谁不行，偏要找个黑家伙 | Racism | hate [END]
国外 | 比较开放 | non-hate | non-hate [END]
非洲很多国家 | 从部落酋邦被殖民者强行拉进工业社会 | non-hate | non-hate [END]
外籍男子 | 醉酒闹事、公然袭警 | non-hate | non-hate [END]
你 | 这波种族歧视我服 | Racism | hate [END]
txl群体 | 将以少见多的理念发挥得淋漓尽致呢 | LGBTQ | hate [END]
犹太教 | 只有资本家才能入犹太教当犹太人 | non-hate | non-hate [END]
腐癌 | 那不是腐癌？? | LGBTQ | hate [END]
我 | 岭南山区的 | non-hate | non-hate [END]
国男 | 还是想想怎么让自己不接盘更实际 | Sexism | hate [END]
你 | 在现实见到黑人也这么说？ | non-hate | non-hate [END]
男孩子 | 惨唉😔 | non-hate | non-hate [END]
答主 | 气得我想笑 | non-hate | non-hate [SEP] 帝国主义 | 亡我中华之心不死 | others | hate [END]
喜欢搞地域黑的三大区域 | 长三角三省市，珠三角，西部某都 | Region | hate [END]
安徽人 | 被黑的原因应该跟河南差不多的😅 | non-hate | non-hate [END]
有些直男 | 单纯恶心 | LGBTQ | hate [SEP] 男同 | do爱吧 | LGBTQ | hate [END]
女权 | 杀光女权，一个不留！ | Sexism | hate [END]
那个回复 | 太有才了 | non-hate | non-hate [END]
女人 | 我从来不看女人的朋友圈 | Sexism | hate [END]
同性恋 | 只要不违法不破坏公德，没有人需要为了别人而收敛自己的本性 | non-hate | non-hate [END]
它 | 超时空爱情 | non-hate | non-hate [SEP] 你 | 跨物种恋爱 | non-hate | non-hate [END]
嘿 | 跪舔嘿看到后很不开心 | Racism | hate [END]
你 | 只是你不想罢了 | non-hate | non-hate [END]
基佬 | 恶心 | LGBTQ | hate [SEP] 蕾丝边 | 恶心 | LGBTQ | hate [END]
河南话 | 说河南话就是河南人？ | non-hate | non-hate [END]
幕刃 | 要这种幕刃给我添堵吗？？ | Sexism | hate [END]
我 | 既可爱又帅气哒 | non-hate | non-hate [END]
春哥 | 兼具了男人的阳刚和女人阴柔 | LGBTQ | hate [END]
东北人 | 嫁到唐山 感觉一段时间这个地域歧视都少不了 | Region | hate [SEP] 我 | 天天被家暴 | Sexism | hate [END]
更多对同性恋抱有偏见的人 | 他们偏见的方式是通过侮辱诅咒同性恋，通过散播自己本就不健全的三观，用各种伪科学或者哲学观点来证明同性恋的劣等和同性恋不该存在在世界上的扭曲变态思想 | LGBTQ | hate [END]
逆民主义女拳 | 横行 | Sexism | hate [END]
中国人的孩子 | 不为中国人生孩子 | Racism | hate [SEP] 外国黑人 | 却为外国黑人生后代 | Racism | hate [END]
河南 | 坏人多，素质差 | Region | hate [END]
卡肺囊虫肺炎和隐脑 | 大几率会死人 | non-hate | non-hate [END]
他 | 选择了转移话题 | non-hate | non-hate [END]
女拳 | 舔狗和理中客 | Sexism | hate [SEP] 微博 | 鲨光男人 | Sexism | hate [END]
底层男人 | 娶不到处女 | Sexism | hate [SEP] 底层男人 | 要求另一半是处 | Sexism | hate [END]
那三个默 | 应该会被判刑法十到二十年左右 | Racism | hate [END]
wb | 纯杀软 | Sexism | hate [END]
江苏 | 小市民思想比较重 | Region | hate [END]
歪国敌特和网特分裂势力 | 彻底与那些歪门邪道者绝缘 | Region | hate [END]
华裔警察 | 什么也没做 | non-hate | non-hate [END]
黑北京的 | 哪有黑上海的多 | Region | hate [END]
媒体 | 好事就算东北人做的只提发生地点（南方），坏事就算南方人在东北做的也只提东北 | Region | hate [END]
十八线小城 | 有几个外国人？😓 | non-hate | non-hate [END]
河南人 | 最了解被地域黑的痛苦 | non-hate | non-hate [END]
同性恋 | 可耻的！是错误的！是会破坏世界的！ | LGBTQ | hate [SEP] 同性恋 | 会破坏世界的！ | LGBTQ | hate [SEP] 同性恋 | 全部死掉 | LGBTQ | hate [END]
西安人 | 死绝🙂 | Region | hate [END]
辽宁 | 真没资格鄙视中部 | non-hate | non-hate [END]
这女的 | 贵物 | Sexism | hate [END]
同性恋 | 用大便来形容 | LGBTQ | hate [END]
你 | 觉得自己很狭隘的 | non-hate | non-hate [END]
中国男人 | 不配我们中国女人🙂 | Sexism | hate [END]
慕刃 | 引流一堆慕刃把环境都搞臭了 | Sexism | hate [END]
我们 | 占他们便宜 | non-hate | non-hate [SEP] 敢占我们便宜的 | 都得死😄 | non-hate | non-hate [END]
例子 | 生动有趣 简洁明了 | non-hate | non-hate [END]
中国男女对立 | 只存在网络上 | non-hate | non-hate [END]
tg | bb+c+china，有攒劲的节目 | non-hate | non-hate [END]
广东人 | 不觉得广东人长得好看 | Region | hate [END]
你 | 211的书怕是白念了？ | non-hate | non-hate [END]
她们 | 明明那么普通却那么自信 | Sexism | hate [END]
河北 | 最没有存在感 | non-hate | non-hate [END]
你 | 写的这是玄幻小说吧 | non-hate | non-hate [END]
黑人 | 一个都混不下去 | Racism | hate [END]
贵州 | 素质差 | Region | hate [END]
恐同 | 深柜实锤 | LGBTQ | hate [END]
基佬 | 一堆屎 | LGBTQ | hate [SEP] 基佬 | 心里变态的货 | LGBTQ | hate [END]
炸鸡 | 好吃 | non-hate | non-hate [END]
女人 | 呵呵 | Sexism | hate [END]
同性 | 排斥同性的表白 | non-hate | non-hate [SEP] 异性 | 排斥自己不喜欢的异性的表白 | non-hate | non-hate [END]
黑 | 平均智商低到下限 | Racism | hate [END]
印度低种姓 | 那是女人不化妆 | Region, Sexism | hate [SEP] 默 | 郭女也就比默强 | Racism, Sexism | hate [END]
资本 | 想捏死就捏死，连个p都不算 | non-hate | non-hate [END]
txl | 再不管管，气候变暖又要加重了 | LGBTQ | hate [END]
我 | 直接承认我不是男人 | non-hate | non-hate [END]
他们 | 没死刑？管不了 | non-hate | non-hate [END]
呜丫丫一片 | 早高峰的上班狗 | non-hate | non-hate [END]
鬼母 | 苟延残喘 | Sexism | hate [END]
被默 | 找老实人接盘 | Sexism, Racism | hate [END]
处女崇拜 | 不随便忽略不计 | non-hate | non-hate [END]
寄生虫 | 啥都指望男人也配谈女权和男女平等 | Sexism | hate [END]
腐癌 | 不支持同性恋 | LGBTQ | hate [END]
你 | 歧视男的 | Sexism | hate [SEP] 女的 | 能扭？ | Sexism | hate [END]
梅事的 | 艾呀 | others | hate [END]
NULL | 井底之蛙 | non-hate | non-hate [END]
中国 | 太强啦😆 | non-hate | non-hate [END]
反同力量 | 团结一起反同力量 | LGBTQ | hate [END]
河南人 | 可也不是全部河南人呀 | non-hate | non-hate [END]
你 | 没有男的会喜欢 | Sexism | hate [END]
我 | 是黑人有很多漂亮的985/211中国女友 | non-hate | non-hate [END]
基佬 | 不会蒙面穿衣服发照了 | LGBTQ, others | hate [END]
你们同性恋 | 爱快乐地互相伤害互相传播疾病的怪物 | LGBTQ, others | hate [SEP] 同性伴侣 | 短命，因艾滋死了又换另一个伴侣，只会不断离离结结进行没有意义的婚姻 | LGBTQ, others | hate [END]
猪精 | 挑起性别对立 | Sexism | hate [END]
基佬 | 应该用hiv当旗子 | LGBTQ, others | hate [END]
你 | 祝你生活如意 | non-hate | non-hate [END]
兄弟 | 报团去微博冲 | non-hate | non-hate [END]
上海 | 被排外多么严重 | Region | hate [END]
txl | 没吗 | LGBTQ | hate [END]
它母上 | 应该多融合 | Sexism | hate [END]
优秀人才 | 另当别论 | non-hate | non-hate [END]
她 | 顺从她就好了 | non-hate | non-hate [END]
答主 | 喷人也不违法 | non-hate | non-hate [END]
上海人 | 拿鼻孔看人（生理意义上） | Region | hate [SEP] 上海人 | 只和上海人玩 | Region | hate [END]
黑人 | 绝对不要跟黑人在一起过的 | Racism | hate [END]
南方 | 经济制裁 | Region | hate [END]
舔狗 | 赶紧去死吧 | Sexism | hate [END]
你们江北 | 不也说安徽，江西 | Region | hate [END]
这波 | 愚蠢的山姆 | Racism | hate [END]
这句话 | 出处啊 | non-hate | non-hate [END]
会打鼓的人 | 很带劲 | non-hate | non-hate [END]
基佬 | 罪证合集 | LGBTQ | hate [END]
同性恋 | 有悖于一个物种繁衍后代的初衷 | LGBTQ | hate [SEP] 同性恋 | 如果全社会支持同性恋，不排除很多人从小就被掰弯的可能，中期将会面临伦理和道德的挑战（例如完全可以近亲同性恋，跨辈分同性恋，想要的小孩却不是亲生的导致后代心理扭曲），长期会面临人类灭绝的风险（人类或许没有动力繁衍了） | LGBTQ | hate [END]
我 | 193 | non-hate | non-hate [END]
韩国人 | 娘炮 | Region | hate [END]
腐女 | 乱磕cp | Sexism, LGBTQ | hate [SEP] 男同 | 烦 | LGBTQ | hate [END]
女拳主义 | 反对 | Sexism | hate [END]
美国黑人马丁路德金 | 非常有文化 | non-hate | non-hate [END]
非洲黑人 | 不喜欢 | Racism | hate [SEP] 中国女人 | 被黑人玩 | Sexism, Racism | hate [END]
河南跟安徽 | 被黑的对象 | Region | hate [END]
电脑 | 不能投票？ | non-hate | non-hate [END]
我 | 没看我是高级黑吗 | non-hate | non-hate [END]
腐女 | 大部分是腐女 | Sexism | hate [END]
黑龙江所谓“老乡” | 背了多少黑锅 | Region | hate [SEP] 南方 | 收保护费，打手 | Region | hate [SEP] 东北人 | 青岛为什么房子都不爱给东北人 | Region | hate [END]
甘肃人 | 没有存在感 | non-hate | non-hate [END]
齐齐哈尔人 | 也考来了抚顺，也听过类似的言论 | non-hate | non-hate [END]
这个垃圾 | 天天刷屏 | non-hate | non-hate [END]
黑人 | 人均寿命黑人第一 | Racism | hate [END]
这女的 | 快手号多少 | non-hate | non-hate [END]
仙女 | 仙女的话就像放大屁 | Sexism | hate [END]
母畜 | 能干得出来这种事 | Sexism | hate [END]
类人猿 | 繁殖速度太快，消灭不了呀！ | Racism | hate [END]
女大学生 | 真太不知廉耻了 | Sexism, Racism | hate [END]
西部 | 大概率也不会愿意和西部玩的 | Region | hate [END]
华夏民族和非洲民族 | 智商相差1000代人的进化 | Racism | hate [END]
河南和东北 | 被黑的很大原因是口音 | non-hate | non-hate [END]
铌铬 | 想想什么人会77%没有父亲吧 | Sexism | hate [END]
国际母狗 | 迷之自信 | Sexism | hate [END]
女性 | 不婚不育还是太少了 | Sexism | hate [END]
以色列 | 生育率居然这么高 | non-hate | non-hate [END]
小作文 | 脑子都不要了 | non-hate | non-hate [END]
非洲部落 | 如果小姑娘在结婚前没有破处，那将给家庭带来厄运 | Region, Sexism | hate [SEP] 性启蒙导师 | 疯狂让病毒传播 | Region, others | hate [END]
老子 | 脱发 | non-hate | non-hate [END]
韩国 | 比较正常 | non-hate | non-hate [SEP] 俄罗斯 | 比较正常 | non-hate | non-hate [END]
结婚的 | 太多了 | non-hate | non-hate [END]
这 | 太不公平了 | non-hate | non-hate [END]
它们 | 只会骂中国男性 | Sexism | hate [END]
这种人 | 快赶上中世纪魔女审判了 | others | hate [END]
基佬 | 真丢人 | LGBTQ | hate [END]
男宝 | 会爱她吗？ | Sexism | hate [END]
百度 | 正义的 | non-hate | non-hate [END]
河南 | 担吗😆 | non-hate | non-hate [END]
任何话 | 都有一定道理的🤣🤣🤣 | non-hate | non-hate [END]
小北 | 很多黑人 | Region, Racism | hate [END]
她 | 恶心加反胃 | Sexism, Racism | hate [END]
动物 | 袭击直接击毙就好了 | non-hate | non-hate [END]
这种货色 | 不拉到没人的地方一顿输出 | non-hate | non-hate [END]
上海 | 歧视北京23333 | Region | hate [END]
坏蛋 | 里某地人的比例 | Region | hate [END]
黑蛆 | 无孔不入 | Racism | hate [SEP] 潳令 | 只等潳令 | Sexism, Racism | hate [END]
我们的子女 | 白白的精致 | non-hate | non-hate [END]
新疆人 | 坑人的太多 | Region | hate [END]
乱搞感染的 | 活该 | others | hate [END]
黑鬼 | 怎么不去把黑鬼都灭了 | Racism | hate [END]
默 | 滚出中国就行了 | Racism | hate [END]
山东 | gdp第三 | non-hate | non-hate [END]
女权 | 给女权钻空子 | Sexism | hate [END]
这个群体 | 不讲人家坏坏不抹黑 | non-hate | non-hate [END]
广西人 | 脸圆鼻子塌 | non-hate | non-hate [SEP] 广西人 | 比较温柔 | non-hate | non-hate [END]
穿紧身裤豆豆鞋的 | 没看到 | non-hate | non-hate [END]
这事 | 只能黑客干 | non-hate | non-hate [END]
女的 | 看得上药娘？ | LGBTQ | hate [END]
你 | 相信生活中不会有人看不起你 | non-hate | non-hate [END]
非洲包括西方世界里的黑人 | 有受教育这一说？ | Racism | hate [END]
黑人 | 最起码不是黑人 | Racism | hate [END]
人 | 总是趋向于自我强化而不是打破自我 | non-hate | non-hate [END]
中国的男艾滋病人 | 基本上全是同志 | LGBTQ, others | hate [END]
黑皮 | 及其厌恶 | Racism | hate [END]
黑人 | 在大学约妹子从没有措施的 | Racism, others | hate [END]
舔狗 | 不得 | Sexism | hate [END]
任何形式的歧视 | 都应该被杜绝 | non-hate | non-hate [END]
中华terf | 宫本家 | Sexism | hate [END]
慈溪 | 很多厂子都不招贵州人 | Region | hate [END]
广西的默默 | 刷评论默默走开 | Region | hate [END]
国女 | 不少就被这种所谓戒指骗的…… | Sexism | hate [END]
黑人 | 欺负黄种人，沉默 | Racism | hate [END]
这个要求 | 不过分 | non-hate | non-hate [END]
钕拳 | 直接把她删了 | Sexism | hate [END]
B站 | 圣母婊和政治正确一点也不少 | non-hate | non-hate [END]
厕所里那坨屎 | 不臭 | non-hate | non-hate [END]
东北 | 感谢唐山以前说黑社会联想地名绝对是东北 | Region | hate [SEP] 唐山 | 现在可是唐山了 | Region | hate [END]
反同者 | 骄傲地骗了一位同性恋 | LGBTQ | hate [SEP] 反同者 | 为反同者开脱 | LGBTQ | hate [END]
混血宝宝 | 不知道她后面还能找到老公么 | Racism | hate [END]
小人 | 难养 | non-hate | non-hate [END]
你们 | 活该 | non-hate | non-hate [END]
上海 | 被黑的最惨的还是白完 | Region | hate [END]
洋人 | 放个屁都是对的 | Racism | hate [END]
东北人 | 热情、爽快、好客 | non-hate | non-hate [END]
你 | 还在上海吗？ | non-hate | non-hate [END]
艾滋基佬 | hiv吧都是艾滋基佬 | LGBTQ, others | hate [END]
同性恋 | 总会有那么一些异性的瞧不起同性恋 | LGBTQ | hate [END]
东亚和欧洲 | 生育率最低 | non-hate | non-hate [END]
大城市 北京上海 广州 | 很多外地穷的地方来的 | non-hate | non-hate [END]
她 | 全中国全江苏没别的女孩子了？ | Sexism | hate [END]
黑龙江 | 杀人放火、打架斗殴、洗脚城女性、海南偷菜 | Region | hate [END]
黑人 | 唱Rap比国内的rapper们正宗些 | non-hate | non-hate [END]
广东🐵 | 爱地域黑 | Region | hate [END]
直佬们 | 趁早纠正取向是最好的出路 | LGBTQ | hate [END]
乎男 | 颠倒黑白真的有一手 | Sexism | hate [END]
这个帖子 | 被删了视频找不到了 | non-hate | non-hate [END]
人家 | 懂得共情 | non-hate | non-hate [END]
上海 | 歧视北京 | Region | hate [END]
嗨人 | 死掉的嗨人是好人 | LGBTQ | hate [END]
我 | 种族歧视 | non-hate | non-hate [END]
黑种人 | 基因顽强 | Racism | hate [SEP] 黑种人 | 整个地球都是黑色的 | Racism | hate [SEP] 黑种人 | 当国家都开始变色的时候，那些极端种族主义分子还会手下留情 | Racism | hate [SEP] 白人 | 不是善茬 | Racism | hate [END]
他 | 在黑我们 | non-hate | non-hate [END]
黑哥 | 光天化日之下黑哥居然就这样 | Racism | hate [END]
黑人白人 | 体味确实不是一般人受得了的 | Racism | hate [SEP] 国女 | 狐臭对你们来说不是啥问题嘛 | Sexism | hate [END]
江浙人 | 猴子 | Region | hate [END]
那些双标的男人 | 好多了 | non-hate | non-hate [END]
你 | 哪里 | non-hate | non-hate [END]
杨笠 | 司马脸 | Sexism | hate [END]
浪子 | 回头是好事 | non-hate | non-hate [END]
你 | 对象找找了吗 | non-hate | non-hate [END]
中国人 | 审美很难认为黑人帅吧 | Racism | hate [END]
这男的 | 在家表现，一直很差吧 | non-hate | non-hate [END]
上海人 | 卑微 | Region | hate [END]
微博豆瓣小红书 | 哪个不是女性的天下 | non-hate | non-hate [END]
广西人 | 跑调 | non-hate | non-hate [END]
你自己 | 自尊自强谁会不尊重你 | non-hate | non-hate [END]
上海人 | 最被歧视 | Region | hate [END]
美国 | 搞和谐 | non-hate | non-hate [END]
美国多少白男 | 为了追小仙女玩极限运动，命都没了吗？ | Sexism, Racism | hate [END]
通讯录 | 正确的通讯录素这样的 | non-hate | non-hate [END]
田园女权 | 男女对立 | Sexism | hate [END]
上海人 | 表示不对 | non-hate | non-hate [END]
粿籹 | 活剐可以剐几刀呀 | Sexism | hate [END]
上海人 | 黑安徽 | Region | hate [SEP] 江浙沪有些企业 | 不招安徽员工 | Region | hate [END]
东北 | 比你上海惨多了 | non-hate | non-hate [END]
江西 | 彩礼确实是真高 | Region | hate [END]
抢东西 | 真的 | non-hate | non-hate [END]
一部分女生 | 被黑人包养 | Sexism, Racism | hate [END]
女的 | 崇媚洋外 | Sexism, Racism | hate [END]
北京人 | 计较？ | non-hate | non-hate [END]
法国 | 前车之鉴 | non-hate | non-hate [END]
我 | 很讨厌血缘和宗族关系 | non-hate | non-hate [END]
LKD | 又一个LKD | Sexism | hate [END]
你姐妹 | 支持 | non-hate | non-hate [END]
男权吧 | 也有渣滓 | non-hate | non-hate [END]
默 | 躲得远远的 | Racism | hate [SEP] 这些人 | 真恶心 | Racism | hate [END]
少数低素质人 | 敌视整个地区 | Region | hate [END]
他的大小号 | 经常在HIV吧约跑 | others | hate [END]
黄巢 | 再次净化华夏血统 | Racism | hate [END]
豆瓣 | 女拳掌控的 | Sexism | hate [END]
洋垃圾和eg | 该喷 | Sexism, Racism | hate [END]
国女 | 世界少有的非洲、印度、巴基斯坦 | Sexism, Racism | hate [END]
同性恋 | 跟基因没有关系 | non-hate | non-hate [END]
找白人女友的 | 还好一起玩，好融入圈子 | Sexism, Racism | hate [SEP] 找白人男友的 | 基本都被默默地排除出去了 | Sexism, Racism | hate [END]
男人 | 可以dy了吗？ | LGBTQ | hate [END]
微信群 | 演 | non-hate | non-hate [END]
吧里这几个反同 | 根本没什么能力 | LGBTQ | hate [SEP] 同性恋 | 反同还得靠同性恋 | LGBTQ | hate [END]
黑人 | 屠杀 | Racism | hate [SEP] 犹太人 | 屠杀 | Racism | hate [END]
河南 | 有个屁的存在感 | Region | hate [END]
他 | 看看别的贴吧的人如何评价他 | non-hate | non-hate [END]
你妈 | 买的 | non-hate | non-hate [END]
大伙 | 集合了 | non-hate | non-hate [END]
陕西 | 感觉急速滑坡😅 | Region | hate [END]
崇洋媚外的 | 走最好 | others | hate [END]
泰迪家族 | i了i了 | Racism | hate [END]
微博 | 标的是虎扑 | non-hate | non-hate [END]
蒋仁贵的黑 | 怎么让人没法关注我 | Racism | hate [END]
35以下的河南人 | 不会多看一眼 | non-hate | non-hate [SEP] 45-55的河南人 | 警惕性一下子就起来了 | non-hate | non-hate [END]
你和那些黑人 | 差不到哪里去 | Racism, Sexism | hate [END]
国男 | 他们跟你不是一路人 | Sexism | hate [END]
你 | 想表达什么⁉ | non-hate | non-hate [END]
黑 | 垃圾 | Racism | hate [END]
他 | 真的有错吗 | non-hate | non-hate [END]
东北 | 被满清文化绑定了 | Region | hate [END]
慕勾 | 是这样的 | Sexism | hate [END]
衡水 | 贱 | Region | hate [END]
你 | loser | non-hate | non-hate [SEP] 你 | 自己生活失败 | non-hate | non-hate [END]
女士 | 本身不是女性 | non-hate | non-hate [END]
基佬 | 自嗨型 | LGBTQ | hate [END]
这波 | 是否是虚空立靶了？ | non-hate | non-hate [END]
国女 | 配不上国女🤣 | Sexism | hate [END]
想胡搅蛮缠玩文字游戏的孩子 | 我就不奉陪了哈✌️✌️ | non-hate | non-hate [END]
库里 | 洁身自好 | non-hate | non-hate [END]
黑龙江人 | 都忘了自己叫黑龙江了吧 | Region | hate [END]
你 | 怎么不滚 | non-hate | non-hate [END]
你 | 如果不安于现状，寻求生活的突破，如果你有很强的执行力，请联系我。 | non-hate | non-hate [END]
她 | 中路不发信号导致我被对面抓了然后她来这出？ | non-hate | non-hate [END]
黑娃 | 上她的户口 | Racism | hate [SEP] 黑娃 | 在中国生活也会很艰难的 | Racism | hate [END]
你这类人 | 道听途说，随波逐流 | non-hate | non-hate [END]
女权 | 泛滥 | Sexism | hate [END]
这个城市包括这个城市的人 | 给我的印象特别差 | Region | hate [END]
同概念 | 用来混乱世界的 | LGBTQ | hate [END]
他 | 说的难道不是事实？ | non-hate | non-hate [END]
你妻子 | 告你强奸罪 | Sexism | hate [END]
男人 | 穿什么裙子，很变态 | Sexism | hate [END]
他 | 不承认他是中国人！ | non-hate | non-hate [END]
我小红书微博关注的美女 | 对象都是鲜肉帅哥 | non-hate | non-hate [END]
某些女人 | 已经把中国女人是名声搞臭了 | Sexism | hate [END]
异性恋 | 也有被骚扰的时候 | non-hate | non-hate [END]
京津 | 东北黑的大本营 | Region | hate [SEP] 东北 | 在广东没啥存在感 | Region | hate [END]
妇女节 | 已经不叫妇女节了 | non-hate | non-hate [END]
男性 | 罪大恶极 | Sexism | hate [SEP] 女性 | 无辜 | Sexism | hate [END]
二次元 | 喜欢曹木琴 | non-hate | non-hate [END]
你 | 只要别被抛弃了又找国人接盘，嫁给洋人也别留在中国 | Sexism, Racism | hate [END]
杨靖宇将军 | 河南确山人 | non-hate | non-hate [END]
我们 | 不能歧视NBA球星？ | non-hate | non-hate [END]
东北 | 被认为素质差 黑社会 | Region | hate [END]
这幕刃 | 欠剐 | Sexism | hate [END]
这种人 | 三观一般都是有问题的 | others | hate [SEP] 戴绿帽的几率 | 无限大😓 | Sexism | hate [END]
小仙女 | 高贵 | non-hate | non-hate [END]
澳门 | 有性感荷官 就不黑了 | Sexism, Racism | hate [END]
前一阵子有几个拿学历说事的 | 喷我 | non-hate | non-hate [END]
他 | gay | LGBTQ | hate [SEP] 你们 | 是.... | LGBTQ | hate [END]
他 | 真的要我放一张东亚小女孩和白人小女孩的照片打他脸吗 | non-hate | non-hate [END]
同性恋和异性恋 | 只是用来区分性取向的 | non-hate | non-hate [END]
你们 | 媚外 | others | hate [END]
黑人 | 连最起码温饱解决不了 | Racism | hate [END]
报团，喝酒，赌博，聚众打架的这些人 | 哪个地方会欢迎？ | non-hate | non-hate [END]
中国人 | 黑哪里都是黑自己 | non-hate | non-hate [END]
你们 | 没几年就被艾滋病战胜了 | others | hate [END]
世界女权 | 在故意抹黑中国女性 | Sexism | hate [END]
黑豹 | 拍的真一般 | Racism | hate [END]
天津 | 地域黑最严重 | Region | hate [END]
黄皮肤的人 | 请不要看到黄皮肤的人就认为是中国人 | non-hate | non-hate [SEP] 很多“组织” | 用其他国家的黄种人和外国人的合照来骗国人 | non-hate | non-hate [END]
姓生火 | 质量低无激情 | Sexism | hate [END]
河南人 | 坏 | Region | hate [SEP] 河南周口 | 专门搞电影诈骗的，还有专门的电信诈骗培训班！ | Region | hate [END]
黑人 | 拍黑人的马屁 | Racism | hate [END]
我 | 先上为敬 | non-hate | non-hate [END]
黑人 | 在女方怀孕后就有了消失的特异功能 | Racism | hate [END]
SB发言 | 逆天程度 | non-hate | non-hate [END]
北方 | 歧视南方几千年 | Region | hate [SEP] 种植园主 | 不可能看得起黑奴 | Racism | hate [END]
河南 | 太惨了 | Region | hate [SEP] 河南同学 | 被黑的不敢说自己是河南的 | Region | hate [END]
潮汕火锅 | 天下第一 | non-hate | non-hate [SEP] 潮汕彩礼 | 天下第一 | non-hate | non-hate [END]
中国人 | 团结一点 | non-hate | non-hate [END]
室内没有暖气的西南 | 比有暖气的北方冷很多 | non-hate | non-hate [END]
那些人 | 个der | non-hate | non-hate [END]
男性主义团体 | 致力于向男性“传教” | non-hate | non-hate [END]
喜欢吃屎的人 | 大傻逼 | others | hate [END]
该干的一样不差 | 那啥点的崽子落地直接走人 | Sexism | hate [END]
默 | 失足都不接 | Sexism, Racism | hate [END]
基佬 | 没素质，没教养的人 | LGBTQ | hate [END]
皖北 | 什么都是皖北的锅 | Region | hate [END]
我 | 已经报告网警了 | non-hate | non-hate [END]
这个狗货 | 私信关了 | Sexism | hate [END]
江西 | 彩礼高 | Region | hate [END]
中立的吧主 | 不男不女的双性恋？ | LGBTQ | hate [END]
小仙女，老仙女 | 工资还不够买防晒霜 | Sexism | hate [END]
有那么几个城市 | 不敢交往 | non-hate | non-hate [END]
女生 | 比男的懒 | Sexism | hate [END]
湖南人 | 把你家端了，还把你老婆带走了 | Region | hate [END]
荣誉女人 | 坏起来 | Sexism | hate [END]
东北 | 被黑是最惨的 | Region | hate [END]
那个傻卵 | 反串的理客中阴阳人 | Sexism | hate [END]
洋大人 | 你也配用？ | Racism | hate [END]
3楼基佬 | 艾滋病的传染概率，女传男概率比男传男概率低多了，低个几十倍吧 | LGBTQ, others | hate [END]
山西人 | 让他往鼻子里捅卫生纸，拿出来是黑色的就是山西人🤭 | Region | hate [END]
女同 | 哔哩哔哩上有一个女同叫饺子不爱吃皮儿 | LGBTQ | hate [END]
有些女的 | 分不清是非黑白 | Sexism | hate [END]
黑人 | 美国是个移民国家 | non-hate | non-hate [SEP] 种族歧视 | 对于同工同酬的双标问题 | Racism | hate [END]
舔狗 | 很多 | Sexism | hate [END]
NULL | 下贱的杂种 | Racism | hate [END]
欧美男友 | 肯定有游艇 | Sexism, Racism | hate [END]
蟑螂 | 阴处已经挤不下了 | Racism | hate [END]
东北 | 一个根本没去过河南的人对河南这么大怨念我也真是理解不了😅 | non-hate | non-hate [END]
NULL | 拉低和族基因了 | Racism | hate [END]
东北人 | 垃圾，低劣的种族，应该灭绝 | Region | hate [END]
高中 | 沐勾可不少 | Sexism | hate [END]
江西 | 被黑 | Region | hate [END]
这个家伙 | 不来了 | non-hate | non-hate [END]
黑小子们 | 可就不一定了 | Racism | hate [SEP] 黑小子 | 总是有办法的 | Racism | hate [END]
男同 | 三观不正，素质极差的人占大多数😄 | LGBTQ | hate [END]
NULL | 性方面也是比不了的 | non-hate | non-hate [END]
媚外ez | 不要媚外ez | Sexism, Racism | hate [END]
我 | 超我终于能说话了 | non-hate | non-hate [END]
河南 | 分数线在那儿管着… | non-hate | non-hate [END]
艾兹病毒 | 入脑了 | others | hate [END]
山东 | 要好一些 | non-hate | non-hate [END]
它 | 精神有问题的费五 | non-hate | non-hate [END]
河南朋友 | 真的不错，能处！ | non-hate | non-hate [SEP] 低温 | 楞抢那种 | Region | hate [END]
莫利安人 | 是这样的 | non-hate | non-hate [END]
东北人 | 被河南人睡 不亏 | Region | hate [END]
这种事情 | 完全无感 | non-hate | non-hate [END]
它们 | 全球所有世纪传染病传播源头都来自它们 | Racism | hate [END]
上海 | 全是苏北人 | Region | hate [END]
女权 | 建议你分手 | non-hate | non-hate [SEP] 男权 | 建议你应该多了解男朋友 | non-hate | non-hate [END]
很多男同性恋 | 在涉世不深时被忽悠甚至被骗的 | LGBTQ | hate [END]
我 | 气得不行 | non-hate | non-hate [END]
舔黑的人 | 在增多 | non-hate | non-hate [SEP] 舔狗 | 也在增多 | non-hate | non-hate [SEP] 国内有些女的 | 快被舔到天上去了 | Sexism | hate [END]
你 | 女权吧派过来搞事的 | Sexism | hate [END]
黑人 | 暴力基因占百分之84 | Racism | hate [END]
女的 | 打男的 | Sexism | hate [SEP] 男的 | 只要敢还一下手，那么后果就不堪设想 | Sexism | hate [END]
深柜 | 饭桶皆深柜 | LGBTQ | hate [END]
钻石 | 在特定条件下会灰飞烟灭 | non-hate | non-hate [END]
